 cnt   client          
 ----- --------------- 
     1 NULL           
     1 101.226.61.206 
     1 101.226.66.172 
  2432 111.196.188.115
     2 114.255.160.170
     6 114.255.160.174
   221 117.176.213.71 
     1 180.153.163.190
 62224 182.150.59.216 
     1 183.57.53.196  
  1075 222.209.207.10 

select count(*) cnt, client from demklog group by client
